year,book_titles,country_iso
2013,"440,000",CHN
2013,"304,912",USA
2011,"184,000",GBR
2017,"139,078",JPN
2013,"101,981",TUN
2013,"93,600",DEU
2013,"90,000",IND
2018,"89,000+",IDN
2016,"77,986",FRA
2014,"72,871",IRL
2017,"66,890",TUR
2018,"63,476",ZAF
2013,"61,966",ITA
2012,"57,473",BRA
2011,"44,000",ESP
2014,"28,234",AUS
2010,"28,084",THA
2014,"28,010",ARG
2009,"24,589",VNM
2015,"21,130",POL
1996,"19,900",CAN
2011,"18,985",CAF
2017,"17,066",COL
2014,"16,502",NLD
2015,"15,354",MYS
2008,"14,984",ROU
2016,"14,833",SRB
2004,"14,790",UKR
2005,"14,603",COG
1991,"13,913",BEL
2006,"13,656",FIN
2009,"13,607",THA
2009,"12,885",BLR
1996,"12,352",DNK
2001,"12,156",CHE
2007,"12,000+",SGP
2012,"11,645",HUN
2015,"10,204",NOR
2017,"10,068",BGR
2006,"9,400",SVK
2000,"9,022",EGY
2013,"8,411",ISR
1996,"8,056",AUT
1996,"7,868",PRT
2012,"7,521",MEX
2002,"6,826",GRC
2012,"5,641",CHL
1995,"5,418",ZAF
1996,"4,115",LKA
2006,"4,101",PER
2010,"4,074",SWE
2008,"3,955",DZA
2017,"3,916",EST
2014,"2,387",SAU
2012,"3,811",PAK
2005,"3,686",LBN
1993,"3,660",MMR
2003,"3,600",NZL
2010,"2,854",ECU
1990,"2,795",AFG
2003,"2,061",VEN
2001,"2,000",LUX
1996,"1,965",LVA
1996,"1,507",PHL
2003,"1,488",CUB
2014,"1,402",ISL
2003,"1,315",CRI
1991,"1,314",NGA
1996,"1,226",KAZ
2004,"1,138",SRB
1996,"1,003",UZB
2015,970,ERI
1996,930,CYP
1996,930,MAR
1996,720,TUN
2003,705,DOM
2003,605,URY
2003,584,SOM
2015,"4,173",GEO
1996,542,AZE
1996,511,JOR
2003,506,PAN
1994,450,TKM
2003,446,GTM
1998,420,KGZ
1995,404,MLT
1994,401,FJI
1996,396,ARM
2003,390,PRY
1991,390,ALB
2003,306,NIC
1994,300,KEN
1993,293,ARE
2003,290,HND
1996,288,UGA
1992,285,MNG
2003,250,SLV
1991,240,ETH
1992,232,ZWE
1996,228,VAT
1996,209,QAT
1992,196,KWT
1990,172,PAN
1991,158,BWA
1996,132,TJK
1991,122,PNG
1996,119,MDG
1996,117,MWI
1996,114,PSE
1990,106,NAM
2009,91,BDI
1995,88,LBN
1994,84,BEN
1996,80,MUS
1992,69,REU
1992,64,COD
1994,57,AND
1996,47,SUR
1996,42,GUY
1990,41,MCO
1996,40,BHR
1992,28,GHA
1994,26,LBY
1995,22,AGO
1995,14,MLI
1996,14,GMB
1996,12,BFA
1996,7,OMN
