country_iso,year,cultural_occupation
ARM,2014,0.94
ARM,2015,0.5
AUT,2014,1.34
AUT,2015,1.41
BEL,2014,0.97
BEL,2015,1.12
BGR,2014,0.99
BGR,2015,0.99
BIH,2014,1.1
BIH,2015,0.89
BMU,2010,0.74
BOL,2011,1.03
BOL,2015,1.53
BRA,2013,0.83
BRN,2014,0.72
CAN,2015,1.22
CHE,2014,1.22
CHL,2013,0.46
CPV,2015,0.64
CRI,2015,0.49
CYM,2016,0.75
CZE,2014,1
CZE,2015,1.42
DEU,2015,1.26
DNK,2013,0.58
DNK,2014,0.61
DOM,2013,0.08
ECU,2015,0.84
ESP,2014,1.68
ESP,2015,1.67
EST,2014,2.06
EST,2015,2.27
FIN,2014,2.3
FIN,2015,2.86
FRA,2014,1.22
FRA,2015,1.16
GHA,2014,0.69
GRC,2015,1.03
HND,2010,0.31
HND,2015,0.39
HRV,2015,2.41
HUN,2014,1.2
HUN,2015,1.26
ISL,2015,2.83
ISR,2014,1.71
ITA,2014,1.09
ITA,2015,1.13
KOR,2014,1.58
KOR,2015,1.62
LKA,2015,0.55
LTU,2014,1.48
LTU,2015,1.33
LUX,2014,1.44
LUX,2015,0.85
LVA,2014,1.61
LVA,2015,1.79
MAC,2014,1.03
MAC,2015,1.01
MDA,2014,0.47
MDA,2015,0.8
MDV,2014,1.59
MEX,2014,1.54
MEX,2015,1.49
MKD,2014,0.78
MKD,2015,0.71
MLI,2014,1.65
MLI,2015,1.42
MLT,2014,1.78
MLT,2015,1.72
MNG,2014,0.7
MOZ,2014,0.08
MYS,2014,0.48
MYS,2015,0.49
NLD,2014,1.32
NLD,2015,1.32
PAK,2014,0.49
PAK,2015,0.58
PAN,2013,0.66
PAN,2016,0.52
PER,2013,0.33
PHL,2014,0.48
PHL,2015,0.48
PRI,2014,1.48
PRI,2015,0.29
PRT,2014,0.74
PRT,2015,0.79
PRY,2010,0.41
PSE,2014,0.5
PSE,2015,0.52
ROU,2014,0.36
ROU,2015,0.42
RUS,2014,1.56
SLV,2013,0.06
SRB,2014,1.46
SRB,2015,1.25
SVK,2014,0.9
SVK,2015,0.9
SWE,2014,1.71
SWE,2015,1.66
SXM,2013,0.12
TGO,2015,0.52
THA,2014,0.84
THA,2015,0.89
TUR,2014,0.96
TUR,2015,1.05
UGA,2012,0.16
URY,2013,0.12
VNM,2014,0.39
VNM,2015,0.38
