year,gii_human_capital,country_iso
2019,66.5,KOR
2019,63.4,FIN
2019,63.2,DEU
2019,63.1,DNK
2019,63.0,SGP
2019,62.1,SWE
2019,61.9,CHE
2019,60.2,AUT
2019,59.3,GBR
2019,57.7,AUS
2019,55.8,FRA
2019,55.7,USA
2019,55.0,BEL
2019,54.5,ISR
2019,53.9,NOR
2019,52.6,NZL
2019,52.4,NLD
2019,52.4,ARE
2019,50.9,CAN
2019,49.5,GRC
2019,49.1,JPN
2019,48.4,IRL
2019,48.3,RUS
2019,47.7,PRT
2019,47.6,CHN
2019,47.0,ESP
2019,46.6,SVN
2019,46.1,HKG
2019,45.5,SAU
2019,45.4,ISL
2019,45.4,ITA
2019,44.4,TUN
2019,44.2,MYS
2019,43.4,CZE
2019,43.3,OMN
2019,42.1,EST
2019,42.0,BIH
2019,41.7,LUX
2019,41.6,BLR
2019,41.2,POL
2019,41.0,HUN
2019,38.7,ARG
2019,37.6,IRN
2019,36.9,LVA
2019,36.6,MLT
2019,36.3,TUR
2019,36.3,LTU
2019,36.0,BRA
2019,35.8,CYP
2019,35.6,HRV
2019,35.6,UKR
2019,34.7,THA
2019,33.5,IND
2019,33.4,MEX
2019,33.3,BRN
2019,33.0,MNE
2019,32.5,CHL
2019,32.4,SVK
2019,32.4,SRB
2019,31.7,KGZ
2019,31.1,VNM
2019,30.6,BGR
2019,30.5,GEO
2019,30.4,MDA
2019,30.4,ZAF
2019,30.4,PER
2019,29.8,KAZ
2019,29.4,JOR
2019,29.1,ROU
2019,28.9,QAT
2019,28.7,URY
2019,28.5,CRI
2019,28.2,BWA
2019,27.9,DZA
2019,27.8,MAR
2019,27.8,ZWE
2019,27.1,MUS
2019,27.0,COL
2019,26.5,BOL
2019,26.4,MKD
2019,25.5,KWT
2019,25.3,LBN
2019,24.6,PHL
2019,24.6,MNG
2019,24.4,BHR
2019,24.4,JAM
2019,24.0,TJK
2019,22.7,ALB
2019,22.0,PRY
2019,21.3,IDN
2019,21.1,ECU
2019,21.1,BEN
2019,20.6,SEN
2019,20.5,TTO
2019,20.2,PAN
2019,19.7,EGY
2019,19.2,GHA
2019,18.8,CMR
2019,18.3,SLV
2019,18.3,HND
2019,18.0,DOM
2019,17.8,RWA
2019,17.7,BDI
2019,17.5,KEN
2019,17.4,MOZ
2019,17.0,AZE
2019,16.9,ARM
2019,16.0,TGO
2019,15.3,MDG
2019,14.4,BFA
2019,14.0,LKA
2019,13.9,NAM
2019,13.6,CIV
2019,13.4,UGA
2019,12.9,NPL
2019,12.5,PAK
2019,12.5,YEM
2019,11.7,NIC
2019,11.3,NGA
2019,11.2,KHM
2019,11.1,GTM
2019,10.8,MWI
2019,10.7,MLI
2019,10.6,ETH
2019,10.0,TZA
2019,9.9,NER
2019,8.8,BGD
2019,6.5,GIN
2019,1.4,ZMB
