year,gii_patent_families,country_iso
2019,7.2,SWE
2019,6.9,ISR
2019,6.5,FIN
2019,13.2,JPN
2019,14.4,KOR
2019,8.2,LUX
2019,9.6,CHE
2019,6.0,NLD
2019,5.9,DEU
2019,5.8,DNK
2019,5.3,MLT
2019,4.5,AUT
2019,3.9,ISL
2019,3.5,FRA
2019,3.3,USA
2019,2.8,BEL
2019,2.3,GBR
2019,2.2,SGP
2019,2.2,NZL
2019,2.1,CAN
2019,2.0,ITA
2019,1.8,IRL
2019,1.7,CYP
2019,1.7,NOR
2019,1.1,HKG
2019,1.1,SVN
2019,1.0,CHN
2019,1.0,AUS
2019,0.8,EST
2019,0.7,CZE
2019,0.7,PRT
2019,0.6,ESP
2019,0.5,BDI
2019,0.4,POL
2019,0.4,HUN
2019,0.4,LVA
2019,0.3,LTU
2019,0.3,SVK
2019,0.3,GRC
2019,0.3,ZAF
2019,0.2,UKR
2019,0.2,CHL
2019,0.2,TUR
2019,0.2,BGR
2019,0.2,MUS
2019,0.2,IND
2019,0.2,ARM
2019,0.2,GEO
2019,0.2,URY
2019,0.2,MYS
2019,0.1,MDA
2019,0.1,RUS
2019,0.1,SAU
2019,0.1,KAZ
2019,0.1,BRA
2019,0.1,HRV
2019,0.1,SRB
2019,0.1,THA
2019,0.1,COL
2019,0.1,BLR
2019,0.1,LBN
2019,0.1,ARG
2019,0.1,MEX
2019,0.1,ROU
2019,0.1,MNG
2019,0.1,PAN
2019,0.0,ARE
2019,0.0,QAT
2019,0.0,JAM
2019,0.0,CRI
2019,0.0,JOR
2019,0.0,PER
2019,0.0,LKA
2019,0.0,ZWE
2019,0.0,BHR
2019,0.0,PHL
2019,0.0,KEN
2019,0.0,IRN
2019,0.0,AZE
2019,0.0,MAR
2019,0.0,KWT
2019,0.0,GHA
2019,0.0,ECU
2019,0.0,VNM
2019,0.0,DOM
2019,0.0,OMN
2019,0.0,TUN
2019,0.0,EGY
2019,0.0,DZA
2019,0.0,PAK
2019,0.0,IDN
2019,0.0,NGA
2019,0.0,PRY
2019,0.0,NAM
2019,0.0,MNE
2019,0.0,NIC
2019,0.0,NER
2019,0.0,TJK
2019,0.0,TZA
2019,0.0,MKD
2019,0.0,SEN
2019,0.0,TTO
2019,0.0,UGA
2019,0.0,YEM
2019,0.0,ZMB
2019,0.0,ETH
2019,0.0,GTM
2019,0.0,GIN
2019,0.0,HND
2019,0.0,KGZ
2019,0.0,MLI
2019,0.0,MDG
2019,0.0,ALB
2019,0.0,BGD
2019,0.0,BRN
2019,0.0,BEN
2019,0.0,BOL
2019,0.0,BIH
2019,0.0,BWA
2019,0.0,SLV
2019,0.0,CIV
2019,0.0,KHM
2019,0.0,CMR
