year,gii_scientific_publications,country_iso
2019,35.6,DNK
2019,35.4,SVN
2019,34.1,CHE
2019,33.1,SRB
2019,32.6,ISL
2019,30.9,FIN
2019,30.2,SWE
2019,29.3,PRT
2019,28.7,EST
2019,26.9,AUS
2019,26.4,NZL
2019,25.6,CYP
2019,25.2,ARM
2019,24.2,ISR
2019,23.8,TUN
2019,23.8,GBR
2019,23.4,CZE
2019,23.1,BEL
2019,22.7,HRV
2019,22.0,AUT
2019,20.8,NLD
2019,20.6,CAN
2019,20.5,GRC
2019,20.4,KOR
2019,20.0,ESP
2019,19.3,NOR
2019,17.6,IRN
2019,17.5,SGP
2019,17.2,LTU
2019,16.9,ITA
2019,16.8,MNE
2019,16.5,POL
2019,15.8,FRA
2019,15.8,HUN
2019,15.7,DEU
2019,14.1,JOR
2019,14.1,GEO
2019,13.6,SVK
2019,13.2,IRL
2019,13.2,CHL
2019,12.1,LUX
2019,11.9,CHN
2019,10.6,ROU
2019,10.5,USA
2019,10.3,ZAF
2019,10.3,LBN
2019,10.2,LVA
2019,10.0,MLT
2019,10.0,BGR
2019,9.7,BRA
2019,9.7,MWI
2019,9.2,URY
2019,9.2,JPN
2019,9.2,UKR
2019,8.6,BEN
2019,8.5,PAK
2019,8.1,MKD
2019,8.0,BIH
2019,8.0,MYS
2019,7.8,TUR
2019,7.1,EGY
2019,7.0,ZWE
2019,6.9,RUS
2019,6.8,CMR
2019,6.8,ARG
2019,6.7,MDA
2019,6.2,SAU
2019,6.0,KEN
2019,5.9,NAM
2019,5.9,ECU
2019,5.9,BWA
2019,5.8,MAR
2019,5.7,NPL
2019,5.6,VNM
2019,5.5,BFA
2019,5.5,RWA
2019,5.3,IND
2019,5.3,BLR
2019,5.2,GHA
2019,5.1,UGA
2019,5.0,CRI
2019,4.9,ETH
2019,4.6,DZA
2019,4.6,JAM
2019,4.5,COL
2019,4.5,THA
2019,4.4,MNG
2019,4.3,MEX
2019,4.3,BDI
2019,4.2,QAT
2019,4.2,MOZ
2019,4.1,MUS
2019,4.0,SEN
2019,3.8,TGO
2019,3.6,MDG
2019,3.5,AZE
2019,3.3,NER
2019,3.2,ALB
2019,3.2,KGZ
2019,3.1,PAN
2019,3.1,ARE
2019,3.1,BRN
2019,3.1,YEM
2019,3.1,TZA
2019,2.9,OMN
2019,2.7,TTO
2019,2.7,ZMB
2019,2.3,MLI
2019,2.3,KHM
2019,2.2,BGD
2019,2.2,LKA
2019,2.1,KWT
2019,1.9,CIV
2019,1.8,BHR
2019,1.8,NGA
2019,1.8,KAZ
2019,1.6,PER
2019,1.6,BOL
2019,1.6,TJK
2019,1.5,HND
2019,1.1,GIN
2019,1.1,NIC
2019,0.9,PHL
2019,0.6,PRY
2019,0.6,IDN
2019,0.5,SLV
2019,0.5,GTM
2019,0.3,DOM
