year,gii_stem_assessment,country_iso
2019,551.6,SGP
2019,532.6,HKG
2019,528.9,JPN
2019,524.3,EST
2019,523.3,CAN
2019,522.7,FIN
2019,519.1,KOR
2019,514.3,CHN
2019,509.3,SVN
2019,509.0,IRL
2019,508.1,DEU
2019,507.9,NLD
2019,506.3,CHE
2019,505.9,NZL
2019,504.5,NOR
2019,504.3,DNK
2019,503.9,POL
2019,502.5,BEL
2019,502.3,AUS
2019,502.0,VNM
2019,499.9,GBR
2019,497.0,PRT
2019,495.8,SWE
2019,495.7,FRA
2019,492.2,AUT
2019,491.8,RUS
2019,491.4,ESP
2019,490.8,CZE
2019,487.6,USA
2019,486.8,LVA
2019,485.0,ITA
2019,483.3,LUX
2019,480.9,ISL
2019,475.4,HRV
2019,475.4,LTU
2019,474.4,HUN
2019,474.3,ARE
2019,471.7,ISR
2019,468.9,ARG
2019,463.4,MLT
2019,462.8,SVK
2019,458.5,GRC
2019,446.6,SRB
2019,442.7,CHL
2019,439.6,BGR
2019,437.5,CYP
2019,437.5,ROU
2019,430.0,URY
2019,424.8,TUR
2019,423.0,TTO
2019,421.3,MDA
2019,418.7,MNE
2019,416.4,KAZ
2019,415.8,CRI
2019,415.7,MEX
2019,415.3,THA
2019,415.2,ALB
2019,412.7,MYS
2019,410.1,COL
2019,407.3,QAT
2019,405.4,GEO
2019,399.0,JOR
2019,395.5,IDN
2019,395.0,BRA
2019,393.6,PER
2019,376.4,LBN
2019,371.4,TUN
2019,368.9,MKD
2019,361.7,DZA
2019,339.0,DOM
2019,336.0,IND
