year,gii_university_industry,country_iso
2019,5.9,USA
2019,5.8,ISR
2019,5.7,CHE
2019,5.5,NLD
2019,5.5,FIN
2019,5.4,DEU
2019,5.4,GBR
2019,5.3,MYS
2019,5.3,SWE
2019,5.2,SGP
2019,5.2,IRL
2019,5.1,BEL
2019,5.1,LUX
2019,5.0,GIN
2019,5.0,HKG
2019,4.9,AUT
2019,4.9,QAT
2019,4.9,JPN
2019,4.8,DNK
2019,4.8,CAN
2019,4.8,NZL
2019,4.7,NOR
2019,4.6,IND
2019,4.6,ISL
2019,4.5,PHL
2019,4.4,KOR
2019,4.4,CHN
2019,4.3,ARE
2019,4.3,KEN
2019,4.3,FRA
2019,4.3,PRT
2019,4.2,AZE
2019,4.2,ZAF
2019,4.2,IDN
2019,4.2,AUS
2019,4.1,THA
2019,4.1,LTU
2019,4.1,OMN
2019,4.1,CZE
2019,4.0,RUS
2019,4.0,ITA
2019,3.9,MLT
2019,3.9,SAU
2019,3.8,GHA
2019,3.8,JAM
2019,3.8,SVN
2019,3.8,TJK
2019,3.8,EST
2019,3.7,TZA
2019,3.7,BHR
2019,3.7,CRI
2019,3.7,PAK
2019,3.7,HUN
2019,3.6,ETH
2019,3.6,CHL
2019,3.6,MEX
2019,3.6,UGA
2019,3.6,BRA
2019,3.5,ESP
2019,3.5,COL
2019,3.5,MNE
2019,3.5,GTM
2019,3.5,RWA
2019,3.5,UKR
2019,3.5,LBN
2019,3.4,JOR
2019,3.4,KAZ
2019,3.4,KWT
2019,3.4,BGR
2019,3.4,MLI
2019,3.4,SEN
2019,3.3,CYP
2019,3.3,ALB
2019,3.3,ROU
2019,3.3,VNM
2019,3.3,SRB
2019,3.3,CMR
2019,3.3,LVA
2019,3.3,SVK
2019,3.3,TUN
2019,3.3,HND
2019,3.3,LKA
2019,3.3,ARG
2019,3.3,NAM
2019,3.2,KHM
2019,3.2,BRN
2019,3.2,MOZ
2019,3.2,TUR
2019,3.2,ARM
2019,3.1,MUS
2019,3.1,PAN
2019,3.1,POL
2019,3.1,URY
2019,3.1,BWA
2019,3.1,ECU
2019,3.0,BDI
2019,3.0,IRN
2019,2.9,GEO
2019,2.9,BFA
2019,2.9,PER
2019,2.9,DOM
2019,2.9,ZMB
2019,2.9,MAR
2019,2.8,BEN
2019,2.8,NPL
2019,2.8,EGY
2019,2.8,TTO
2019,2.8,MKD
2019,2.7,MDA
2019,2.7,MWI
2019,2.7,HRV
2019,2.7,KGZ
2019,2.7,SLV
2019,2.6,BIH
2019,2.6,NIC
2019,2.6,BOL
2019,2.6,DZA
2019,2.6,ZWE
2019,2.6,MNG
2019,2.6,BGD
2019,2.6,PRY
2019,2.5,GRC
2019,2.4,NGA
2019,2.3,CIV
2019,2.2,YEM
